cliente_id,segmento,canal_principal,ciudad,categoria_favorita,fecha_primera_compra,fecha_ultima_compra,recencia_dias,frecuencia,valor_total_cop,ticket_promedio,duracion_relacion_dias,compras_ultimo_trim,compras_ultimo_anio,variacion_frecuencia,max_gap_entre_compras,tiene_descuentos,n_categorias_compradas,usa_app,nps_score,churn
CLI00149,Premium,E-commerce,Cúcuta,Tecnología,2023-02-23,2024-12-02,89,21,6773999,322571,649,1,5,0.9707,181,0,4,0,6,0
CLI00150,Regular,E-commerce,Bucaramanga,Libros,2023-02-13,2025-01-22,38,10,1665891,166589,710,1,5,0.4225,142,1,4,0,8,0
CLI00151,Online,Tienda física,Barranquilla,Belleza,2023-01-01,2024-04-22,313,20,2834439,141721,478,0,2,1.2552,141,0,2,0,1,1
CLI00152,Regular,App móvil,Barranquilla,Deportes,2023-01-02,2024-05-06,299,9,1421898,157988,491,0,3,0.5499,165,0,2,1,4,1
CLI00153,Regular,App móvil,Bucaramanga,Tecnología,2023-04-12,2024-12-04,87,7,1250883,178697,603,1,3,0.3483,199,1,2,1,7,0
CLI00154,Regular,Tienda física,Bogotá,Libros,2023-03-04,2024-07-04,240,11,1974212,179473,489,0,3,0.6748,208,1,1,0,2,1
CLI00155,Online,E-commerce,Bucaramanga,Belleza,2023-07-05,2025-01-28,32,8,1082273,135284,574,1,2,0.4181,178,1,4,1,9,0
CLI00156,Regular,App móvil,Medellín,Deportes,2023-05-20,2024-08-18,195,6,908139,151356,457,0,1,0.3939,206,1,2,1,2,1
CLI00157,Ocasional,App móvil,Ibagué,Hogar,2023-03-31,2025-02-14,15,3,342110,114036,687,1,1,0.131,501,0,3,1,8,0
CLI00158,Corporativo,Teléfono,Cúcuta,Belleza,2023-01-10,2025-01-01,59,28,21901804,782207,723,1,11,1.1618,119,0,2,0,8,0
CLI00159,Regular,Teléfono,Bucaramanga,Belleza,2023-05-19,2025-02-11,18,12,2092852,174404,635,2,6,0.5669,123,1,4,0,4,0
CLI00160,Ocasional,App móvil,Bogotá,Calzado,2023-01-08,2025-02-25,4,2,164347,82173,780,1,1,0.0769,779,1,2,1,8,0
CLI00161,Regular,Teléfono,Cúcuta,Ropa,2023-05-21,2024-12-27,64,10,2022551,202255,587,1,4,0.5111,158,0,1,0,9,0
CLI00162,Ocasional,Teléfono,Medellín,Libros,2023-10-26,2025-01-28,32,6,507157,84526,461,1,4,0.3905,180,0,2,0,9,0
CLI00163,Ocasional,Teléfono,Cali,Deportes,2023-01-19,2025-01-15,45,3,239902,79967,728,1,1,0.1236,647,1,1,0,10,0
CLI00164,Regular,App móvil,Cali,Belleza,2023-01-23,2024-12-18,73,17,3392365,199550,696,1,6,0.7328,105,0,2,1,7,0
CLI00165,Premium,App móvil,Pereira,Hogar,2023-02-17,2025-01-28,32,18,6209649,344980,712,1,5,0.7584,130,1,1,0,10,0
CLI00166,Corporativo,Teléfono,Bogotá,Tecnología,2023-01-31,2025-02-17,12,28,19823901,707996,749,3,12,1.1215,83,0,2,1,1,0
CLI00167,Regular,E-commerce,Montería,Tecnología,2023-01-31,2025-01-05,55,5,908868,181773,706,1,3,0.2125,356,0,3,1,9,0
CLI00168,Regular,Tienda física,Barranquilla,Hogar,2023-02-05,2024-12-07,84,10,1805867,180586,672,1,5,0.4464,201,1,2,0,8,0
CLI00169,Premium,E-commerce,Medellín,Deportes,2023-01-18,2025-02-27,2,21,7735290,368347,772,1,12,0.8161,221,1,2,1,9,0
CLI00170,Ocasional,Tienda física,Medellín,Ropa,2023-06-20,2024-02-06,389,3,244946,81648,232,0,0,0.3879,199,0,3,0,3,1
CLI00171,Ocasional,E-commerce,Montería,Belleza,2023-03-18,2024-02-15,380,3,236035,78678,335,0,0,0.2687,244,1,3,0,6,1
CLI00172,Premium,Teléfono,Medellín,Ropa,2023-02-16,2025-01-23,37,15,5357768,357184,708,1,7,0.6356,138,1,1,0,10,0
CLI00173,Regular,Teléfono,Medellín,Tecnología,2023-02-14,2025-01-13,47,9,1633037,181448,700,1,2,0.3857,176,1,1,1,2,0
CLI00174,Regular,Teléfono,Bucaramanga,Tecnología,2023-02-23,2025-02-21,8,7,1014153,144879,730,1,1,0.2877,407,0,2,1,7,0
CLI00175,Ocasional,Tienda física,Montería,Belleza,2023-01-27,2023-12-27,430,6,611813,101968,335,0,0,0.5373,139,1,2,1,1,1
CLI00176,Regular,E-commerce,Pereira,Calzado,2023-01-11,2025-01-04,56,15,2706291,180419,725,2,7,0.6207,159,1,3,1,5,0
CLI00177,Ocasional,Tienda física,Montería,Belleza,2023-05-05,2024-06-17,257,5,384760,76952,410,0,2,0.3659,158,0,1,0,5,1
CLI00178,Regular,Tienda física,Bogotá,Libros,2023-03-27,2024-07-21,223,10,1799005,179900,483,0,5,0.6211,135,0,2,1,3,1
CLI00179,Online,App móvil,Montería,Libros,2023-01-13,2025-02-09,20,12,1557943,129828,759,1,5,0.4743,183,1,3,1,9,0
CLI00180,Regular,App móvil,Cartagena,Tecnología,2023-09-13,2025-02-22,7,8,1320276,165034,529,2,5,0.4537,121,1,1,1,7,0
CLI00181,Regular,E-commerce,Cali,Tecnología,2023-01-02,2025-01-21,39,8,1375110,171888,751,1,2,0.3196,248,0,1,1,7,0
CLI00182,Premium,App móvil,Medellín,Tecnología,2023-01-29,2024-12-02,89,14,4424940,316067,674,1,7,0.6231,131,0,4,0,8,0
CLI00183,Online,App móvil,Cartagena,Libros,2023-01-06,2024-08-17,196,14,2264848,161774,590,0,5,0.7119,106,1,3,1,3,1
